,vocab,count,valence
0,B,179,"[(3,)]"
1,C,52007,"[(4,)]"
2,N,3992,"[(3,)]"
3,S,4412,"[(6,)]"
4,[BH4-],130,"[(4,)]"
5,[CH3+],31,"[(3,)]"
6,[CH3-],11,"[(3,)]"
7,[NH4+],192,"[(4,)]"
8,[SH3+],475,"[(3,)]"
9,[SH5+3],7,"[(5,)]"
10,B=C,1,"[(1, 2)]"
11,BB,26,"[(2, 2)]"
12,BC,604,"[(2, 3)]"
13,BN,215,"[(2, 2)]"
14,BO,191,"[(2, 1)]"
15,BS,9,"[(2, 1)]"
16,B[BH3-],9,"[(2, 3)]"
17,C#C,1470,"[(1, 1)]"
18,C#N,4182,"[(1, 0)]"
19,C#[NH+],6,"[(1, 1)]"
20,C#[O+],3,"[(1, 0)]"
21,C=C,8120,"[(2, 2)]"
22,C=N,4212,"[(2, 1)]"
23,C=O,37454,"[(2, 0)]"
24,C=S,1858,"[(2, 4), (2, 0)]"
25,C=[N-],2,"[(2, 0)]"
26,C=[NH2+],100,"[(2, 2)]"
27,C=[OH+],22,"[(2, 1)]"
28,C=[SH+],28,"[(2, 1)]"
29,C=[SH3+3],2,"[(2, 3)]"
30,CC,143537,"[(3, 3)]"
31,CN,44901,"[(3, 2)]"
32,CO,62185,"[(3, 1)]"
33,CS,8559,"[(3, 1), (3, 5)]"
34,C[N-2],1,"[(3, 0)]"
35,C[NH-],28,"[(3, 1)]"
36,C[NH3+],586,"[(3, 3)]"
37,C[O-],112,"[(3, 0)]"
38,C[OH2+],21,"[(3, 2)]"
39,C[S-],3,"[(3, 0)]"
40,C[SH2+],845,"[(3, 2)]"
41,C[SH4+3],8,"[(3, 4)]"
42,N#[NH+],30,"[(0, 1)]"
43,N#[SH],1,"[(0, 3)]"
44,N=N,276,"[(1, 1)]"
45,N=O,71,"[(1, 0)]"
46,N=S,62,"[(1, 4)]"
47,N=[NH2+],16,"[(1, 2)]"
48,N=[OH+],1,"[(1, 1)]"
49,N=[SH+],4,"[(1, 1)]"
50,N=[SH3+3],1,"[(1, 3)]"
51,NN,2038,"[(2, 2)]"
52,NO,961,"[(2, 1)]"
53,NS,2571,"[(2, 5), (2, 1)]"
54,N[NH3+],30,"[(2, 3)]"
55,N[O-],155,"[(2, 0)]"
56,N[SH2+],156,"[(2, 2)]"
